Методи сортування;
Сортування бульбашкою; 0.001; 500
Сортування методом вибору; 0.001; 500
Сортування вставкою; 0.000; 500
Сортування Шелла; 0.000; 500
Швидке сортування_1; 0.000; 
Швидке сортування_2; 0.000; 
Методи сортування;
Сортування бульбашкою; 0.003; 1000
Сортування методом вибору; 0.003; 1000
Сортування вставкою; 0.002; 1000
Сортування Шелла; 0.001; 1000
Швидке сортування_1; 0.001; 
Швидке сортування_2; 0.001; 
Методи сортування;
Сортування бульбашкою; 0.096; 5000
Сортування методом вибору; 0.056; 5000
Сортування вставкою; 0.036; 5000
Сортування Шелла; 0.002; 5000
Швидке сортування_1; 0.003; 
Швидке сортування_2; 0.002; 
Методи сортування;
Сортування бульбашкою; 0.450; 10000
Сортування методом вибору; 0.222; 10000
Сортування вставкою; 0.121; 10000
Сортування Шелла; 0.003; 10000
Швидке сортування_1; 0.003; 
Швидке сортування_2; 0.003; 
